Drugname	NCIDS:Phase:Status:Literature
her2bi-armed	NCT02662348:Phase 1:Unknown status:No publish
rose	NCT02693067:Phase 1:Recruiting:No publish
18f-fluoromisonidazole	NCT02695628:Phase 2:Recruiting:No publish
tai-gpc3-cart	NCT02715362:Phase 1|Phase 2:Recruiting:No publish
mtl-cebpa	NCT02716012:Phase 1:Recruiting:No publish
vxm01	NCT02718430:Phase 1:Active, not recruiting:No publish
adjuvant	NCT02738697:Phase 3:Recruiting:Qin S, Cheng Y, Liang J, Shen L, Bai Y, Li J, Fan J, Liang L, Zhang Y, Wu G, Rau KM, Yang TS, Jian Z, Liang H, Sun Y. Efficacy and safety of the FOLFOX4 regimen versus doxorubicin in Chinese patients with advanced hepatocellular carcinoma: a subgroup analysis of the EACH study. Oncologist. 2014 Nov;19(11):1169-78. doi: 10.1634/theoncologist.2014-0190. Epub 2014 Sep 15.;;NCT01088581:Phase 3:Completed:No publish
0.9%	NCT02744248:Phase 1:Completed:No publish;;NCT01782573:Phase 4:Completed:No publish
iop	NCT02744248:Phase 1:Completed:No publish;;NCT03407495:Phase 2:Not yet recruiting:No publish
whole	NCT02753881:Phase 1:Recruiting:No publish
superselective	NCT02753881:Phase 1:Recruiting:No publish
medi4736	NCT02754856:Phase 1:Recruiting:No publish;;NCT02572687:Phase 1:Active, not recruiting:No publish
tefinostat	NCT02759601:Phase 1|Phase 2:Active, not recruiting:No publish
oxaliplatin(oxa),	NCT02767375:Phase 2|Phase 3:Recruiting:Korean Liver Cancer Study Group (KLCSG); National Cancer Center, Korea (NCC). 2014 Korean Liver Cancer Study Group-National Cancer Center Korea practice guideline for the management of hepatocellular carcinoma. Korean J Radiol. 2015 May-Jun;16(3):465-522. doi: 10.3348/kjr.2015.16.3.465. Epub 2015 May 13.
simeprevir	NCT02771405:Phase 3:Recruiting:No publish
daclatasvir	NCT02771405:Phase 3:Recruiting:No publish
ledipasvir	NCT02771405:Phase 3:Recruiting:No publish
sofosbuvir	NCT02771405:Phase 3:Recruiting:No publish;;NCT01559844:Phase 2:Completed:No publish
ribavirin	NCT02771405:Phase 3:Recruiting:No publish;;NCT01559844:Phase 2:Completed:No publish
inc280	NCT02795429:Phase 1|Phase 2:Recruiting:No publish;;NCT01737827:Phase 2:Recruiting:No publish
somatostatin	NCT02799212:Phase 3:Recruiting:No publish;;NCT00386984:Phase 3:Completed:Allgaier HP, Becker G, Blum HE. [A therapeutic study of hepatocellular carcinoma using octreotide (HECTOR). Hepatocellular Carcinoma: Treatment with Octreotide]. Dtsch Med Wochenschr. 2000 Mar 17;125(11):320. German.
anlotinib	NCT02809534:Phase 2:Recruiting:No publish
entecavir	NCT02829359:Phase 2|Phase 3:Completed:No publish;;NCT02650271:Phase 2|Phase 3:Recruiting:Ke Y, Ma L, You XM, Huang SX, Liang YR, Xiang BD, Li LQ, Zhong JH. Antiviral therapy for hepatitis B virus-related hepatocellular carcinoma after radical hepatectomy. Cancer Biol Med. 2013 Sep;10(3):158-64. doi: 10.7497/j.issn.2095-3941.2013.03.006.
h3b-6527	NCT02834780:Phase 1:Recruiting:No publish
ad-p53	NCT02842125:Phase 1|Phase 2:Not yet recruiting:No publish
xeloda	NCT02842125:Phase 1|Phase 2:Not yet recruiting:No publish
keytruda	NCT02842125:Phase 1|Phase 2:Not yet recruiting:No publish
cc-122	NCT02859324:Phase 1|Phase 2:Recruiting:No publish
5	NCT02885753:Phase 3:Recruiting:No publish
cytoxan	NCT02905188:Phase 1:Not yet recruiting:No publish
acetaminophen	NCT02911961:Phase 4:Not yet recruiting:No publish
peri-operative	NCT02912052:Phase 3:Not yet recruiting:No publish
postoperative	NCT02912052:Phase 3:Not yet recruiting:No publish
yang	NCT02927626:Early Phase 1:Recruiting:No publish
routine	NCT02927626:Early Phase 1:Recruiting:No publish
abc294640	NCT02939807:Phase 2:Recruiting:No publish
shr-1210	NCT02942329:Phase 1|Phase 2:Recruiting:No publish
nis793	NCT02947165:Phase 1:Recruiting:No publish
pdr001	NCT02947165:Phase 1:Recruiting:No publish;;NCT02988440:Phase 1:Recruiting:No publish;;NCT02795429:Phase 1|Phase 2:Recruiting:No publish
car-t	NCT02959151:Phase 1|Phase 2:Recruiting:No publish
simvastatin	NCT02968810:Phase 2:Recruiting:No publish
best	NCT02971696:Phase 3:Completed:No publish;;NCT01655693:Phase 3:Active, not recruiting:No publish;;NCT00508001:Phase 2:Completed:No publish
p03277	NCT02973516:Phase 2:Recruiting:No publish
5-fu,	NCT02987699:Phase 2:Recruiting:Llovet JM, Real MI, Montaña X, Planas R, Coll S, Aponte J, Ayuso C, Sala M, Muchart J, Solà R, Rodés J, Bruix J; Barcelona Liver Cancer Group. Arterial embolisation or chemoembolisation versus symptomatic treatment in patients with unresectable hepatocellular carcinoma: a randomised controlled trial. Lancet. 2002 May 18;359(9319):1734-9.
normal	NCT02987907:Phase 3:Recruiting:No publish
trans-arterial	NCT03007225:Phase 4:Completed:No publish
genexol-pm	NCT03008512:Phase 2:Recruiting:No publish
5fluorouracil	NCT03017326:Phase 3:Recruiting:No publish
atorvastatin	NCT03024684:Phase 4:Recruiting:No publish;;NCT03275376:Phase 2:Recruiting:No publish
tilmanocept	NCT03029988:Phase 1:Recruiting:No publish
folfiri/folfox/capeox	NCT03031444:Phase 2|Phase 3:Recruiting:Fong Y, Fortner J, Sun RL, Brennan MF, Blumgart LH. Clinical score for predicting recurrence after hepatic resection for metastatic colorectal cancer: analysis of 1001 consecutive cases. Ann Surg. 1999 Sep;230(3):309-18; discussion 318-21.
lipotecan	NCT03035006:Phase 1|Phase 2:Recruiting:No publish;;NCT02267213:Phase 2:Completed:No publish
hydroxychloroquine	NCT03037437:Phase 2:Recruiting:No publish
arm	NCT03044587:Phase 2:Recruiting:No publish;;NCT03044587:Phase 2:Recruiting:No publish
cbt-501	NCT03053466:Phase 1:Recruiting:No publish
int230-6	NCT03058289:Phase 1|Phase 2:Recruiting:No publish
sf1126	NCT03059147:Phase 1:Recruiting:No publish
parecoxib	NCT03059238:Phase 3:Recruiting:Lv N, Kong Y, Mu L, Pan T, Xie Q, Zhao M. Effect of perioperative parecoxib sodium on postoperative pain control for transcatheter arterial chemoembolization for inoperable hepatocellular carcinoma: a prospective randomized trial. Eur Radiol. 2016 Oct;26(10):3492-9. doi: 10.1007/s00330-016-4207-8. Epub 2016 Jan 22.
controlled-release	NCT03059238:Phase 3:Recruiting:Lv N, Kong Y, Mu L, Pan T, Xie Q, Zhao M. Effect of perioperative parecoxib sodium on postoperative pain control for transcatheter arterial chemoembolization for inoperable hepatocellular carcinoma: a prospective randomized trial. Eur Radiol. 2016 Oct;26(10):3492-9. doi: 10.1007/s00330-016-4207-8. Epub 2016 Jan 22.
folfox4	NCT03092895:Phase 2:Recruiting:No publish;;NCT02069041:Phase 1:Completed:No publish;;NCT02534337:Phase 2|Phase 3:Unknown status:No publish;;NCT02527772:Phase 2|Phase 3:Active, not recruiting:Lombardi G, Zustovich F, Farinati F, Cillo U, Vitale A, Zanus G, Donach M, Farina M, Zovato S, Pastorelli D. Pegylated liposomal doxorubicin and gemcitabine in patients with advanced hepatocellular carcinoma: results of a phase 2 study. Cancer. 2011 Jan 1;117(1):125-33. doi: 10.1002/cncr.25578. Epub 2010 Aug 31.|Qin S, Bai Y, Lim HY, Thongprasert S, Chao Y, Fan J, Yang TS, Bhudhisawasdi V, Kang WK, Zhou Y, Lee JH, Sun Y. Randomized, multicenter, open-label study of oxaliplatin plus fluorouracil/leucovorin versus doxorubicin as palliative chemotherapy in patients with advanced hepatocellular carcinoma from Asia. J Clin Oncol. 2013 Oct 1;31(28):3501-8. doi: 10.1200/JCO.2012.44.5643. Epub 2013 Aug 26.;;NCT02452853:Phase 2:Unknown status:No publish;;NCT00874406:Phase 4:Unknown status:No publish
apatinib	NCT03092895:Phase 2:Recruiting:No publish;;NCT02702323:Phase 2|Phase 3:Not yet recruiting:No publish;;NCT02727309:Phase 1|Phase 2:Recruiting:No publish;;NCT02942329:Phase 1|Phase 2:Recruiting:No publish;;NCT02772029:Phase 1|Phase 2:Unknown status:No publish;;NCT03511703:Phase 2:Not yet recruiting:No publish;;NCT03261791:Phase 2:Recruiting:No publish;;NCT03114085:Phase 2:Not yet recruiting:No publish;;NCT03046979:Phase 2:Recruiting:No publish;;NCT02329860:Phase 3:Active, not recruiting:No publish;;NCT01192971:Phase 2:Completed:No publish
xl888	NCT03095781:Phase 1:Recruiting:No publish
kn035	NCT03101488:Phase 1:Recruiting:No publish
bumetanide	NCT03107416:Phase 1|Phase 2:Recruiting:No publish
milciclib	NCT03109886:Phase 2:Recruiting:No publish
68gallium	NCT03116945:Phase 2:Recruiting:Gharib AM, Thomasson D, Li KC. Molecular imaging of hepatocellular carcinoma. Gastroenterology. 2004 Nov;127(5 Suppl 1):S153-8.
gpc3-cart	NCT03130712:Phase 1|Phase 2:Recruiting:No publish
drug	NCT03143270:Early Phase 1:Recruiting:No publish
nivolumab	NCT03143270:Early Phase 1:Recruiting:No publish;;NCT03572582:Phase 2:Recruiting:No publish;;NCT03203304:Phase 1:Recruiting:No publish;;NCT03299946:Phase 1:Recruiting:No publish;;NCT02423343:Phase 1|Phase 2:Recruiting:No publish;;NCT03071094:Phase 1|Phase 2:Recruiting:No publish;;NCT02859324:Phase 1|Phase 2:Recruiting:No publish;;NCT03511222:Phase 1:Not yet recruiting:No publish;;NCT03222076:Phase 2:Recruiting:No publish;;NCT03418922:Phase 1:Recruiting:No publish;;NCT03382886:Phase 1:Recruiting:No publish;;NCT02576509:Phase 3:Active, not recruiting:No publish
incb062079	NCT03144661:Phase 1:Recruiting:No publish
pregabalin	NCT03151213:Phase 4:Recruiting:No publish
folfox	NCT03164382:Phase 3:Recruiting:No publish;;NCT00103298:Phase 2:Completed:No publish;;NCT00866944:Phase 2:Completed:No publish;;NCT02774187:Phase 3:Active, not recruiting:Fan W, Zhang Y, Wang Y, Yao X, Yang J, Li J. Neutrophil-to-lymphocyte and platelet-to-lymphocyte ratios as predictors of survival and metastasis for recurrent hepatocellular carcinoma after transarterial chemoembolization. PLoS One. 2015 Mar 5;10(3):e0119312. doi: 10.1371/journal.pone.0119312. eCollection 2015.;;NCT03469479:Phase 3:Recruiting:No publish;;NCT03048123:Phase 2:Completed:No publish;;NCT02981498:Phase 2:Recruiting:He MK, Zou RH, Li QJ, Zhou ZG, Shen JX, Zhang YF, Yu ZS, Xu L, Shi M. Phase II Study of Sorafenib Combined with Concurrent Hepatic Arterial Infusion of Oxaliplatin, 5-Fluorouracil and Leucovorin for Unresectable Hepatocellular Carcinoma with Major Portal Vein Thrombosis. Cardiovasc Intervent Radiol. 2018 May;41(5):734-743. doi: 10.1007/s00270-017-1874-z. Epub 2018 Jan 11.;;NCT02973685:Phase 3:Recruiting:No publish;;NCT00006479:Phase 3:Unknown status:Benoist S, Nordlinger B. The role of preoperative chemotherapy in patients with resectable colorectal liver metastases. Ann Surg Oncol. 2009 Sep;16(9):2385-90. doi: 10.1245/s10434-009-0492-7. Epub 2009 Jun 25. Review.;;NCT00006050:Phase 2:Unknown status:Ducreux M, Ychou M, Laplanche A, Gamelin E, Lasser P, Husseini F, Quenet F, Viret F, Jacob JH, Boige V, Elias D, Delperro JR, Luboinski M; gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. Hepatic arterial oxaliplatin infusion plus intravenous chemotherapy in colorectal cancer with inoperable hepatic metastases: a trial of the gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. J Clin Oncol. 2005 Aug 1;23(22):4881-7. Epub 2005 Jul 11.;;NCT00008294:Phase 1:Completed:Kemeny N, Capanu M, D'Angelica M, Jarnagin W, Haviland D, Dematteo R, Fong Y. Phase I trial of adjuvant hepatic arterial infusion (HAI) with floxuridine (FUDR) and dexamethasone plus systemic oxaliplatin, 5-fluorouracil and leucovorin in patients with resected liver metastases from colorectal cancer. Ann Oncol. 2009 Jul;20(7):1236-41. doi: 10.1093/annonc/mdn769. Epub 2009 Feb 20.
il-2	NCT03175705:Phase 1:Recruiting:No publish;;NCT03175679:Phase 1:Recruiting:No publish
tegafur	NCT03175705:Phase 1:Recruiting:No publish;;NCT03175679:Phase 1:Recruiting:No publish
metformin	NCT03184493:Phase 3:Recruiting:No publish;;NCT02145559:Phase 1:Active, not recruiting:No publish;;NCT02431676:Phase 2:Active, not recruiting:No publish;;NCT02672488:Phase 2:Recruiting:No publish
celebrex	NCT03184493:Phase 3:Recruiting:No publish;;NCT03184493:Phase 3:Recruiting:No publish
bushen-jianpi	NCT03189992:Phase 1:Recruiting:No publish
cinobufotalin	NCT03189992:Phase 1:Recruiting:No publish
epidoxorubicin	NCT03192644:Phase 3:Recruiting:No publish
c188-9	NCT03195699:Phase 1:Recruiting:No publish
perflutren	NCT03199274:Early Phase 1:Recruiting:No publish
np-g2-044	NCT03199586:Phase 1:Recruiting:No publish
ima970a	NCT03203005:Phase 1|Phase 2:Recruiting:No publish
urea	NCT03212625:Phase 4:Recruiting:No publish
placebos	NCT03212625:Phase 4:Recruiting:No publish
primovist	NCT03215355:Phase 4:Not yet recruiting:No publish
arq	NCT03230318:Phase 2:Recruiting:No publish;;NCT01752920:Phase 1|Phase 2:Active, not recruiting:No publish;;NCT01656265:Phase 1:Completed:No publish;;NCT00988741:Phase 2:Completed:No publish;;NCT00802555:Phase 1:Completed:No publish
cpg	NCT03235167:Phase 1:Not yet recruiting:No publish
huachansu	NCT03236636:Phase 3:Not yet recruiting:No publish;;NCT01715532:Phase 2:Unknown status:No publish
icaritin	NCT03236649:Phase 3:Not yet recruiting:No publish;;NCT03236636:Phase 3:Not yet recruiting:No publish;;NCT01972672:Phase 2:Unknown status:No publish
chiauranib	NCT03245190:Phase 1:Recruiting:No publish
etv；tdf；adv	NCT03253250:Phase 4:Recruiting:No publish
meclizine	NCT03253289:Phase 1:Recruiting:No publish
guadecitabine	NCT03257761:Phase 1:Recruiting:No publish
opdivo	NCT03259867:Phase 2:Recruiting:No publish;;NCT02842125:Phase 1|Phase 2:Not yet recruiting:No publish
arginine	NCT03278444:Phase 3:Recruiting:No publish
trimetazidine	NCT03278444:Phase 3:Recruiting:No publish
defined	NCT03278925:Phase 1:Not yet recruiting:No publish
avelumab	NCT03289533:Phase 1:Recruiting:No publish;;NCT03389126:Phase 2:Recruiting:No publish
btg-002814	NCT03291379:Early Phase 1:Recruiting:No publish
fmiso	NCT03303469:Phase 2:Recruiting:No publish
gns561	NCT03316222:Phase 1|Phase 2:Recruiting:No publish
fate-nk100	NCT03319459:Phase 1:Recruiting:No publish
trastuzumab	NCT03319459:Phase 1:Recruiting:No publish;;NCT01953926:Phase 2:Recruiting:No publish
acetylsalicylic	NCT03326791:Phase 2:Recruiting:No publish
cdx-1140	NCT03329950:Phase 1:Recruiting:No publish
cobimetinib	NCT03340558:Phase 2:Not yet recruiting:No publish
regorafenib(stivarga,	NCT03347292:Phase 1:Recruiting:No publish
terlipressinum	NCT03352349:Phase 2:Recruiting:No publish
pembrolizumab	NCT03397654:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT02509507:Phase 1:Recruiting:No publish;;NCT02940496:Phase 1|Phase 2:Recruiting:No publish;;NCT03347292:Phase 1:Recruiting:No publish;;NCT03511222:Phase 1:Not yet recruiting:No publish;;NCT01174121:Phase 2:Recruiting:No publish;;NCT03519997:Phase 2:Recruiting:No publish;;NCT03337841:Phase 2:Not yet recruiting:No publish;;NCT03163992:Phase 2:Recruiting:No publish;;NCT03006926:Phase 1:Recruiting:No publish;;NCT03419481:Phase 2:Recruiting:No publish;;NCT02658019:Phase 2:Active, not recruiting:No publish
standard	NCT03398291:Phase 3:Not yet recruiting:No publish
rintatolimod	NCT03403634:Early Phase 1:Recruiting:No publish
lumason	NCT03407001:Early Phase 1:Recruiting:No publish
bgb-a317	NCT03419897:Phase 2:Recruiting:No publish;;NCT03412773:Phase 3:Recruiting:No publish
icosapent	NCT03428477:Phase 3:Recruiting:No publish
lenvatinib	NCT03433703:Phase 2:Recruiting:No publish;;NCT03418922:Phase 1:Recruiting:No publish;;NCT03006926:Phase 1:Recruiting:No publish;;NCT02953743:Phase 1:Active, not recruiting:No publish;;NCT01761266:Phase 3:Active, not recruiting:No publish
atezolizumab	NCT03434379:Phase 3:Recruiting:No publish
pt-112	NCT03439761:Phase 1|Phase 2:Recruiting:No publish
para-toluenesulfonamide	NCT03447951:Phase 2:Not yet recruiting:No publish
shr	NCT03463876:Phase 2:Recruiting:No publish
haic	NCT03468231:Phase 3:Recruiting:No publish;;NCT03468231:Phase 3:Recruiting:No publish;;NCT02856126:Phase 3:Recruiting:No publish
5-fluorouracil	NCT03493048:Phase 2:Recruiting:No publish;;NCT03366155:Phase 2:Not yet recruiting:No publish;;NCT03563170:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT00941655:Phase 3:Completed:Rudloff U, Langan RC, Mullinax JE, Beane JD, Steinberg SM, Beresnev T, Webb CC, Walker M, Toomey MA, Schrump D, Pandalai P, Stojadinovic A, Avital I. Impact of maximal cytoreductive surgery plus regional heated intraperitoneal chemotherapy (HIPEC) on outcome of patients with peritoneal carcinomatosis of gastric origin: results of the GYMSSA trial. J Surg Oncol. 2014 Sep;110(3):275-84. doi: 10.1002/jso.23633. Epub 2014 Jul 5.;;NCT01226719:Phase 2:Completed:No publish
aslan001	NCT03499626:Phase 1|Phase 2:Recruiting:No publish
fudr	NCT03500874:Phase 3:Recruiting:No publish
5fu	NCT03500874:Phase 3:Recruiting:No publish
cgx1321	NCT03507998:Phase 1:Recruiting:No publish
nivolumab,	NCT03510871:Phase 2:Not yet recruiting:No publish
vorolanib	NCT03511222:Phase 1:Not yet recruiting:No publish
babaodan	NCT03515369:Phase 4:Not yet recruiting:No publish
ts-1	NCT03519074:Phase 2:Recruiting:No publish
etoposide	NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT00007813:Phase 1:Unknown status:Leung W, Chen AR, Klann RC, Moss TJ, Davis JM, Noga SJ, Cohen KJ, Friedman AD, Small D, Schwartz CL, Borowitz MJ, Wharam MD, Paidas CN, Long CA, Karandish S, McMannis JD, Kastan MB, Civin CI. Frequent detection of tumor cells in hematopoietic grafts in neuroblastoma and Ewing's sarcoma. Bone Marrow Transplant. 1998 Nov;22(10):971-9.;;NCT00002854:Phase 1:Completed:No publish;;NCT03017326:Phase 3:Recruiting:No publish;;NCT00003597:Phase 1:Completed:Angiolillo AL, Davenport V, Bonilla MA, van de Ven C, Ayello J, Militano O, Miller LL, Krailo M, Reaman G, Cairo MS; Children's Oncology Group. A phase I clinical, pharmacologic, and biologic study of thrombopoietin and granulocyte colony-stimulating factor in children receiving ifosfamide, carboplatin, and etoposide chemotherapy for recurrent or refractory solid tumors: a Children's Oncology Group experience. Clin Cancer Res. 2005 Apr 1;11(7):2644-50.
durvalumab	NCT03539822:Phase 1:Not yet recruiting:No publish;;NCT03298451:Phase 3:Recruiting:No publish;;NCT03298451:Phase 3:Recruiting:No publish;;NCT03298451:Phase 3:Recruiting:No publish
administration	NCT03551444:Phase 3:Recruiting:No publish
nab-paclitaxel	NCT03563170:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT02423239:Phase 1:Unknown status:No publish
tace	NCT03572582:Phase 2:Recruiting:No publish;;NCT01217034:Phase 2:Active, not recruiting:No publish;;NCT02018757:Phase 2:Unknown status:No publish;;NCT02018757:Phase 2:Unknown status:No publish;;NCT03048123:Phase 2:Completed:No publish;;NCT02973685:Phase 3:Recruiting:No publish;;NCT02956772:Phase 2:Not yet recruiting:No publish;;NCT02856126:Phase 3:Recruiting:No publish;;NCT02436902:Phase 3:Recruiting:No publish;;NCT02418988:Phase 2:Unknown status:No publish;;NCT02418988:Phase 2:Unknown status:No publish;;NCT03007225:Phase 4:Completed:No publish;;NCT00921531:Phase 3:Unknown status:No publish
cvm-1118	NCT03582618:Phase 2:Not yet recruiting:No publish
lutetium	NCT03590119:Phase 2|Phase 3:Not yet recruiting:No publish
atg-008	NCT03591965:Phase 2:Not yet recruiting:No publish
obi-3424	NCT03592264:Phase 1|Phase 2:Recruiting:No publish
