NCT Number	Status	Study Results	Interventions	Outcome Measures	Phases	URL
NCT00247676	Completed	Has Results	Drug: Sunitinib (SU011248)	Best Overall Response|Objective Response (CR or PR)|Duration of Objective Response (CR or PR)|Clinical Benefit Response (CR, PR, or SD With Duration ≥12 Weeks)|Best Overall Response of PR or SD With Duration ≥12 Weeks|Progression-Free Survival (Overall ITT)|Progression-Free Survival (ITT Child Pugh Class A Subject Population)|Time to Tumor Progression (Overall ITT)|Time to Tumor Progression (ITT Child Pugh Class A Subject Population)|Overall Survival (Overall ITT)|Overall Survival (ITT Child Pugh Class A Subject Population)|1-Year Survival Probability|Trough Plasma Concentrations (Ctrough) of Sunitinib|Ctrough of SU-012662 (Metabolite of Sunitinib)|Ctrough of Total Drug (Sunitinib + SU-012662)|Dose-Corrected Ctrough of Sunitinib|Dose-Corrected Ctrough of SU-012662 (Metabolite of Sunitinib)|Dose-Corrected Ctrough of Total Drug (Sunitinib + SU-012662)|Circulating Endothelial Cells (CECs) and Circulating Endothelial Progenitor Cells (CEPs)|Tissue Tumor Markers Assessed by Tumor Biopsy|Plasma Concentration of Vascular Endothelial Growth Factor (VEGF)|Plasma Concentration of VEGF-C|Plasma Concentration of Soluble VEGF Receptor-2 (sVEGFR-2)|Plasma Concentration of Soluble VEGF Receptor-3 (sVEGFR-3)|Plasma Concentration of Soluble KIT (sKIT)	Phase 2	https://ClinicalTrials.gov/show/NCT00247676
NCT00001587	Completed	No Results Available	Procedure: Isolated hepatic portal and arterial perfusion|Drug: Melphalan		Phase 1	https://ClinicalTrials.gov/show/NCT00001587
NCT01900002	Active, not recruiting	No Results Available	Drug: Sorafenib|Radiation: Yttrium-90 Microspheres|Behavioral: Follow-Up Phone Calls	Toxicity of Sorafenib and Yttrium-90	Phase 2	https://ClinicalTrials.gov/show/NCT01900002
NCT00604409	Completed	No Results Available	Radiation: SIRT|Drug: capecitabine	To determine the safety, toxicity, and recommended phase II dose (RPTD) of capecitabine when administered concurrently with SIR-Spheres in patients with advanced cancer.|Efficacy	Phase 1	https://ClinicalTrials.gov/show/NCT00604409
NCT00003994	Completed	No Results Available	Procedure: therapeutic conventional surgery|Drug: cisplatin|Drug: vincristine sulfate|Drug: fluorouracil|Drug: amifostine trihydrate|Drug: carboplatin	Event-free survival (EFS) rates|Toxicity rates assessed using National Cancer Institute (NCI) Common Toxicity Criteria (CTC)	Phase 3	https://ClinicalTrials.gov/show/NCT00003994
NCT01180959	Active, not recruiting	No Results Available	Drug: Bevacizumab|Drug: Erlotinib	Number of Patients with Progression Free Survival (PFS) at 16 weeks	Phase 2	https://ClinicalTrials.gov/show/NCT01180959
NCT00250822	Completed	No Results Available	Drug: Gemcitabine and Oxaliplatin	Response Rate ( CR + PR rate); namely, to determine response rate to the Gemcitabine and Oxaliplatin combination administered to patients with hepatocellular cancer. Furthermore, patients who achieve a response leading to tumor respectability.	Phase 2	https://ClinicalTrials.gov/show/NCT00250822
NCT01356628	Active, not recruiting	Has Results	Drug: PD-0332991	Time to Disease Progression|Number of Adverse Events|Overall Survival (OS)|Response Rate (RR)	Phase 2	https://ClinicalTrials.gov/show/NCT01356628
NCT01730937	Recruiting	No Results Available	Drug: sorafenib tosylate|Radiation: stereotactic body radiation therapy	Overall survival (OS)|TTP|PFS|Grade 4 or 5 hepatic adverse events, grade 4 or 5 gastrointestinal AEs, grade 4 thrombocytopenia associated with any bleeding or grade 5 thrombocytopenia. All AEs must be definitely or probably related to protocol treatment and use CTCAE version 4.0|Health related quality of life assessments measured by the Functional Assessment of Cancer Therapy-Hepatobiliary (FACT-Hep)|Quality adjusted survival defined as the weighted sum of different time in different health states added up to a total quality-adjusted survival time using EuroQol (EQ-5D)	Phase 3	https://ClinicalTrials.gov/show/NCT01730937
NCT00321594	Completed	Has Results	Drug: belinostat	Dose-limiting Toxicities (DLT) and Maximum Tolerated Dose (MTD) of Belinostat in Patients With Inoperable HCC (Phase I)|Tumor Response in Patients With Inoperable HCC Using Belinostat (Phase II)	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00321594
NCT01545804	Completed	No Results Available	Drug: Lenalidomide	disease stabilization	Phase 2	https://ClinicalTrials.gov/show/NCT01545804
NCT00238394	Completed	No Results Available	Drug: cediranib maleate|Other: laboratory biomarker analysis	Survival after 6 months of treatment|Time to disease progression|Confirmed tumor response is defined to be a CR or PR noted as the objective status on 2 consecutive evaluations at least 4 weeks apart|Laboratory measures	Phase 2	https://ClinicalTrials.gov/show/NCT00238394
NCT00513461	Unknown status	No Results Available	Drug: S-adenosyl-L-methionine disulfate p-toluene-sulfonate|Other: placebo|Other: laboratory biomarker analysis|Other: immunoenzyme technique|Other: high performance liquid chromatography	Change in serum AFP levels|Treatment-related changes in additional serum markers for hepatocellular carcinoma|Change in markers of liver disease|Changes in markers of oxidative stress|Change in SAMe metabolites|Safety and tolerability of SAMe|Changes in quality of life	Phase 2	https://ClinicalTrials.gov/show/NCT00513461
NCT02174549	Recruiting	No Results Available	Drug: Tirapazamine|Procedure: Transarterial embolization (TAE)	determine the recommended phase 2 dose|Complete Response (CR) rate|Duration of response	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT02174549
NCT00370513	Completed	No Results Available	Drug: pazopanib	Adverse events (AEs) and changes in vital signs and laboratory values. A dose regimen where no more than 1 out of 6 subjects experience a dose-limiting toxicity (DLT) will define the maximum tolerated dose (MTD).|Various pharmacokinetic parametersAlpha-fetoprotein (AFP) measurements and scans	Phase 1	https://ClinicalTrials.gov/show/NCT00370513
NCT00728078	Unknown status	No Results Available	Drug: thalidomide	progress free survival|morbility|overall survival|recurrence rate	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT00728078
NCT00845689	Unknown status	No Results Available	Drug: placebo|Drug: adenosine|Procedure: Liver resection		Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00845689
NCT02702323	Not yet recruiting	No Results Available	Drug: Apatinib|Procedure: TACE	Progress Free Survival|overall survival|Objective response rate|The Quality of Life|Toxicity as measured by CTCAE V4.0	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT02702323
NCT00553683	Unknown status	No Results Available	Drug: cyclophosphamide|Drug: poly ICLC|Procedure: hepatic artery embolization|Radiation: 3-dimensional conformal radiation therapy	Overall tolerability|Progression-free survival at 6, 12, and 24 months|Overall survival at 6, 12, and 24 months	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00553683
NCT01033240	Completed	No Results Available	Drug: CS-1008|Drug: sorafenib	time to progression (TTP) for chemotherapy naive subjects with advanced hepatocellular carcinoma (HCC)|objective response rate (ORR) i.e. the proportion of subjects with the best response of complete response or partial response|overall survival (OS)	Phase 2	https://ClinicalTrials.gov/show/NCT01033240
NCT00507585	Completed	No Results Available	Drug: Fluorouracil|Drug: Avastin|Drug: Leucovorin|Drug: Oxaliplatin	To study the highest tolerable dose of oxaliplatin used in combination with 5-fluorouracil, leucovorin, and Avastin® (bevacizumab) for patients with advanced cancer that has spread to the liver.	Phase 1	https://ClinicalTrials.gov/show/NCT00507585
NCT01624285	Active, not recruiting	No Results Available	Drug: sorafenib tosylate|Other: placebo|Other: laboratory biomarker analysis	Recurrence-free survival, evaluated using the new international criteria proposed by the Modified Response Evaluation Criteria in Solid Tumors (mRECIST) Committee|Overall survival|Recurrence-free survival, evaluated using the new international criteria proposed by the mRECIST Committee|Adverse events assessed in terms of seriousness, severity, and relationship to the study material according to the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 4.0|Impact of drug-drug interactions|Impact of biomarkers (AFP and PIVKA II)|Time to wound healing|Time to first HCV viral recurrence	Phase 2	https://ClinicalTrials.gov/show/NCT01624285
NCT00019786	Completed	No Results Available	Drug: isolated perfusion|Drug: melphalan|Procedure: conventional surgery	Response rate|Duration of response|Patterns of recurrence|Disease-free survival|Overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT00019786
NCT00361309	Completed	No Results Available	Drug: SU011248	Progression free survival of hepatocellular carcinoma (HCC) patients treated with SU011248.|Number of adverse events in patients treated with SU011248 for advanced hepatocellular carcinoma|Objective Response Rate|Overall Survival	Phase 2	https://ClinicalTrials.gov/show/NCT00361309
NCT03352349	Recruiting	No Results Available	Drug: Terlipressinum	Change of Portal vein pressure|Incidence of hepatic dysfunction after hepatectomy|Incidence of acute renal dysfunction after hepatectomy|Adverse effect of Terlipressurinum	Phase 2	https://ClinicalTrials.gov/show/NCT03352349
NCT00604721	Completed	Has Results	Drug: selumetinib|Other: pharmacological study	Number of Participants With Radiographic Objective Response (OR)|Median Progression Free Survival (PFS)|Median Overall Survival (OS)	Phase 2	https://ClinicalTrials.gov/show/NCT00604721
NCT02509507	Recruiting	No Results Available	Drug: Talimogene Laherparepvec|Drug: Pembrolizumab	Subject incidence DLTs separately in Group A and B observed in monotherapy and combination|To evaluate in Part 2 ORR per irRC‑RECIST separately by tumor type (BC, CRC, GEC, melanoma, NSCLC, RCC, and HCC)|Safety: Subject incidence of treatment-related and treatment-emergent adverse events in monotherapy and combination of Part 1 and each separate tumour type in Part 2|Safety: To estimate the incidence of detectable talimogene laherparepvec DNA in blood and urine|Safety: To estimate the incidence of clearance of talimogene laherparepvec DNA from blood and urine|Safety: To estimate the rate of detection and incidence of talimogene laherparepvec DNA and virus at the surface of talimogene laherparepvec injection site, the exterior of the occlusive dressing, and the oral mucosa|Safety: To estimate the incidence of talimogene laherparepvec DNA detection in lesions suspected to be herpetic in origin	Phase 1	https://ClinicalTrials.gov/show/NCT02509507
NCT00083226	Completed	Has Results	Drug: doxorubicin|Drug: bortezomib	Objective Response Rate Measured by Response Evaluation Criteria In Solid Tumors (RECIST)|Overall Survival|Progression Free Survival	Phase 2	https://ClinicalTrials.gov/show/NCT00083226
NCT00077441	Completed	No Results Available	Drug: bortezomib|Other: laboratory biomarker analysis	Proportion of confirmed tumor responses, defined to be either a CR or PR noted as the objective status on 2 consecutive evaluations at least 6 weeks apart|Survival time|Time to disease progression|Duration of response is defined for all evaluable patients who have achieved an objective response as the date at which the patient's objective status is first noted to be either a CR or PR to the date progression is documented|Time to treatment failure	Phase 2	https://ClinicalTrials.gov/show/NCT00077441
NCT00858429	Active, not recruiting	No Results Available	Drug: capecitabine|Radiation: yttrium Y 90 glass microspheres	Maximal tolerated dose of yttrium Y 90|Toxicity|Time to tumor progression	Phase 1	https://ClinicalTrials.gov/show/NCT00858429
NCT00775073	Completed	No Results Available	Drug: Everolimus, Bevacizumab	Time to Progression|Overall Survival	Phase 2	https://ClinicalTrials.gov/show/NCT00775073
NCT00001576	Completed	No Results Available	Drug: Melphalan|Drug: Floxuridine|Drug: Leucovorin		Phase 1	https://ClinicalTrials.gov/show/NCT00001576
NCT01375569	Completed	Has Results	Drug: TRC105	Time to Tumor Progression (TTP) for TRC105 in Hepatocellular Carcinoma (HCC).|Count of Participants With Adverse Events	Phase 2	https://ClinicalTrials.gov/show/NCT01375569
NCT00071994	Completed	No Results Available	Drug: gefitinib|Other: laboratory biomarker analysis	Progression-free survival rate in patients treated with ZD 1839|Response (CR+PR) measured by RECIST|Grade 3 or higher toxicity|EGFR expression	Phase 2	https://ClinicalTrials.gov/show/NCT00071994
NCT00047346	Completed	No Results Available	Drug: erlotinib hydrochloride|Other: pharmacological study|Other: laboratory biomarker analysis	Dose-limiting toxicity and maximum tolerated dose as measured by NCI CTCAE v3.0 continuously|Pharmacokinetic (PK) and pharmacodynamic profile, as measured by Cmax, Tmax, AUC0-24, AUC0-infinity, Cl/F, T1/2, accumulation ratio, and Cssmin|Objective response rates (partial, complete, stable disease), as measured by CT scans using RECIST criteria	Phase 1	https://ClinicalTrials.gov/show/NCT00047346
NCT03259867	Recruiting	No Results Available	Drug: Opdivo Injectable Product or Keytruda Injectable Product|Combination Product: Trans-arterial tirapazamine embolization	Response rate|Overall Response rate|Duration of Response|Progression Free Survival|Overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT03259867
